source,search_date,query_or_seed,record_title,advanced_to_title_abstract_screening,included_in_final_83
elicit,2026-08-02,What surveys and systematic reviews describe methods for constructing knowledge graphs from unstructured natural-language text?,A Comprehensive Survey on Automatic Knowledge Graph Construction,yes,yes
elicit,2026-08-02,What surveys and systematic reviews describe methods for constructing knowledge graphs from unstructured natural-language text?,A Survey on Extracting Knowledge Graphs by Employing Natural Language Processing,yes,no
elicit,2026-08-02,What surveys and systematic reviews describe methods for constructing knowledge graphs from unstructured natural-language text?,Review of Automatic and Semi-Automatic Creation of Knowledge Graphs from Structured and Unstructured Data,yes,yes
elicit,2026-08-02,What surveys and systematic reviews describe methods for constructing knowledge graphs from unstructured natural-language text?,A Systematic Literature Review on RDF Triple Generation From Natural Language Texts,yes,yes
elicit,2026-08-02,What methods construct knowledge graphs end-to-end from unstructured text?,Constructing Knowledge Graphs from Text Using Large Language Models: Scoping Review,yes,yes
elicit,2026-08-02,"Which original research papers introduce rule-based, pattern-based, dependency-parsing, or Open Information Extraction methods for extracting entities, relations, or triples from unstructured text for knowledge graph construction? Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only use an existing knowledge graph.",OpenIE-based Approach for Knowledge Graph Construction from Text,yes,yes
elicit,2026-08-02,"Which original research papers introduce rule-based, pattern-based, dependency-parsing, or Open Information Extraction methods for extracting entities, relations, or triples from unstructured text for knowledge graph construction? Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only use an existing knowledge graph.",Semi-automatic Knowledge Graph Construction by Relation Pattern Extraction,yes,yes
elicit,2026-08-02,"Which original research papers use classical machine-learning methods such as CRF, SVM, probabilistic models, or feature-based relation extraction to transform unstructured text into entities, relations, triples, or knowledge graphs? Exclude surveys and papers without direct Text-to-Knowledge-Graph relevance.",From Text to Knowledge: Bridging the Gap with Probabilistic Graphical Models,yes,yes
elicit,2026-08-02,"Which original research papers use neural networks such as CNNs, RNNs, BiLSTMs, or neural sequence-labeling models to extract entities and relations from unstructured text for knowledge graph construction? Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only use an existing knowledge graph.",Research on Construction Method of Knowledge Graph of US Military Equipment Based on BiLSTM Model,yes,no
elicit,2026-08-02,"Which original research papers use transformer encoder models such as BERT for entity extraction, relation extraction, or joint entity-relation extraction from unstructured text for knowledge graph construction? Prioritize methods whose extracted entities and relations directly populate a knowledge graph. Exclude surveys and papers without direct Text-to-Knowledge-Graph relevance.",Building Knowledge Graph Using Pre-trained Language Model for Learning Entity-aware Relationships,yes,no
elicit,2026-08-02,"Which original research papers use transformer encoder models such as BERT for entity extraction, relation extraction, or joint entity-relation extraction from unstructured text for knowledge graph construction? Prioritize methods whose extracted entities and relations directly populate a knowledge graph. Exclude surveys and papers without direct Text-to-Knowledge-Graph relevance.",Span Level Model for the Construction of Scientific Knowledge Graph,yes,no
elicit,2026-08-02,"Which original research papers jointly extract entities and relations from unstructured text for knowledge graph construction? Prioritize methods that reduce pipeline error propagation and produce entity-relation triples or graph structures. Exclude surveys, GraphRAG, knowledge graph question answering, and papers that only use an existing knowledge graph.",Joint Extraction of Entities and Relations Based on a Novel Graph Scheme,yes,yes
