candidate_id,title,final_state,reason
C0001,A Comprehensive Survey on Automatic Knowledge Graph Construction,ACCEPTED_CARD,
C0002,A Survey on Extracting Knowledge Graphs by Employing Natural Language Processing,MANUAL_PDF_REQUIRED,Legal public acquisition routes exhausted in prior passes; manual PDF acquisition remains required.
C0003,Review of Automatic and Semi-Automatic Creation of Knowledge Graphs from Structured and Unstructured Data,ACCEPTED_CARD,
C0004,A Systematic Literature Review on RDF Triple Generation From Natural Language Texts,ACCEPTED_CARD,
C0005,Constructing Knowledge Graphs from Text Using Large Language Models: Scoping Review,ACCEPTED_CARD,
C0006,OpenIE-based Approach for Knowledge Graph Construction from Text,ACCEPTED_CARD,
C0007,Semi-automatic Knowledge Graph Construction by Relation Pattern Extraction,ACCEPTED_CARD,
C0008,From Text to Knowledge. Bridging the Gap with Probabilistic Graphical Models,ACCEPTED_CARD,
C0009,Research on Construction Method of Knowledge Graph of US Military Equipment Based on BiLSTM Model,MANUAL_PDF_REQUIRED,Legal public acquisition routes exhausted in prior passes; manual PDF acquisition remains required.
C0010,Building Knowledge Graph Using Pre-trained Language Model for Learning Entity-aware Relationships,MANUAL_PDF_REQUIRED,Legal public acquisition routes exhausted in prior passes; manual PDF acquisition remains required.
C0011,Span Level Model for the Construction of Scientific Knowledge Graph,MANUAL_PDF_REQUIRED,Legal public acquisition routes exhausted in prior passes; manual PDF acquisition remains required.
C0012,Joint Extraction of Entities and Relations Based on a Novel Graph Scheme,ACCEPTED_CARD,
C0013,Seq2KG: An End-to-End Neural Model for Domain Agnostic Knowledge Graph Construction from Text,ACCEPTED_CARD,
C0014,An Autoregressive Text-to-Graph Framework for Joint Entity and Relation Extraction,ACCEPTED_CARD,
C0015,LlmRe: A Zero-Shot Entity Relation Extraction Method Based on the Large Language Model,ACCEPTED_CARD,
C0016,Fine-Tuning Language Models for Triple Extraction with Data Augmentation,ACCEPTED_CARD,
C0017,CodeKGC: Code Language Model for Generative Knowledge Graph Construction,ACCEPTED_CARD,
C0018,iText2KG: Incremental Knowledge Graphs Construction Using Large Language Models,ACCEPTED_CARD,
C0019,Leveraging LLM for Automated Ontology Extraction and Knowledge Graph Generation,ACCEPTED_CARD,
C0020,A BERT-Assisted LLM Framework for Knowledge Graph Construction,MANUAL_PDF_REQUIRED,Legal public acquisition routes exhausted in prior passes; manual PDF acquisition remains required.
C0021,Prompt Me One More Time: A Two-Step Knowledge Extraction Pipeline with Ontology-Based Verification,ACCEPTED_CARD,
C0022,KnowledgeNet: A Benchmark Dataset for Knowledge Base Population,ACCEPTED_CARD,
C0023,Text2KGBench: A Benchmark for Ontology-Driven Knowledge Graph Generation from Text,ACCEPTED_CARD,
C0024,KGGen: Extracting Knowledge Graphs from Plain Text with Language Models,ACCEPTED_CARD,
C0025,Knowledge Vault: A Web-Scale Approach to Probabilistic Knowledge Fusion,ACCEPTED_CARD,
C0026,Identifying Relations for Open Information Extraction,ACCEPTED_CARD,
C0027,FEEL: Framework for the Integration of Entity Extraction and Linking Systems,ACCEPTED_CARD,
C0028,On Aligning OpenIE Extractions with Knowledge Bases: A Case Study,ACCEPTED_CARD,
C0029,MWO2KG and Echidna: Constructing and Exploring Knowledge Graphs from Maintenance Data,ACCEPTED_CARD,
